city,gender,school_name,school_type,caste_community,religion,quota,accommodation,source,parents_thought,reason_for_joining,student_goal,cutoff_12th,geographic_segment,academic_segment,socioeconomic_segment,distance_category,marketing_channel_type,parents_sentiment
Karur,Male,Karur Matriculation School,Private CBSE,OC,Christian,Government Counselling,Day Scholar,Social Media Ad,No hostel expenses and we can monitor the studies closely from home.,Interest,Government Job,192,Local,High Performer,Mixed,Distant,Digital,Neutral
Tiruppur,Male,Udumalpet HSS,Private Matriculation,BC,Hindu,Management,Hostel,College Website,Infrastructure and lab facilities are much better than other colleges we visited.,Interest,Higher Studies Masters,185,Local,Average,Middle,Close,Digital,Neutral
Salem,Female,St. Josephs Salem,Private Matriculation,OC,Hindu,Government Counselling,Day Scholar,Education Fair,We heard about BIT through education fair and the reviews were positive.,Counselling,Higher Studies Masters,189,Local,Average,Middle,Close,Traditional,Neutral
Chennai,Female,Vidya Mandir Chennai,Private Matriculation,MBC,Christian,Management,Hostel,Friend Family Referral,The campus environment seems safe and conducive for focused studies.,Interest,High Placement,186,Metro,Average,Middle,Distant,Referral,Neutral
Karur,Female,Karur Matriculation School,Private CBSE,MBC,Hindu,Management,Day Scholar,Friend Family Referral,The campus environment seems conducive for focused technical studies.,Interest,Start Own Business,170,Local,Below Average,Premium,Distant,Referral,Neutral
Salem,Female,Sona HSS Salem,Private CBSE,OC,Christian,Management,Day Scholar,Newspaper Ad,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Higher Studies Masters,191,Local,High Performer,Premium,Close,Other,Neutral
Erode,Male,Sri Ramakrishna Mission School Erode,Private Matriculation,MBC,Hindu,Government Counselling,Hostel,School Counselor,The hostel facilities looked good during our campus visit and safety seemed adequate.,Counselling,High Placement,193,Local,High Performer,Middle,Very Close,Referral,Positive
Madurai,Male,American College HSS,Private Matriculation,MBC,Christian,Management,Hostel,Social Media Ad,Infrastructure and lab facilities are much better than other colleges we visited.,Interest,Become an Entrepreneur,187,Regional,Average,Middle,Distant,Digital,Neutral
Tiruppur,Female,Udumalpet HSS,Private Matriculation,OC,Hindu,Management,Day Scholar,Campus Visit,Strong industry connections and practical learning approach attracted us to BIT.,Interest,High Placement,188,Local,Average,Middle,Close,Other,Neutral
Namakkal,Male,Komarapalayam HSS,Private CBSE,SC,Hindu,Management,Hostel,Friend Family Referral,The campus environment seems safe and conducive for focused studies.,Counselling,High Placement,183,Regional,Average,Premium,Distant,Referral,Neutral
Erode,Male,GHI International School Erode,Private CBSE,OC,Hindu,Management,Day Scholar,Alumni Reference,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,High Placement,172,Local,Below Average,Premium,Very Close,Other,Neutral
Karur,Female,ABC School Karur,Private CBSE,SC,Christian,Government Counselling,Day Scholar,Google Search,Erode location provides good balance of facilities without big city distractions.,Counselling,Become an Entrepreneur,185,Local,Average,Mixed,Distant,Digital,Positive
Coimbatore,Female,Sowripalayam HSS,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,Alumni Reference,The convenience of staying at home while getting quality education is ideal.,Interest,Higher Studies Masters,181,Local,Average,Mixed,Close,Other,Neutral
Erode,Male,Government HSS Erode,Government,SC,Christian,Management,Day Scholar,College Website,We heard about BIT through college website and the reviews were positive.,Interest,Higher Studies Masters,185,Local,Average,Budget,Very Close,Digital,Neutral
Tiruppur,Male,Kumaran Schools,Private CBSE,OC,Christian,Government Counselling,Day Scholar,Education Fair,Strong industry connections and practical learning approach attracted us to BIT.,Interest,High Placement,198,Local,High Performer,Mixed,Close,Traditional,Neutral
Trichy,Female,Trichy Matriculation School,Private Matriculation,MBC,Christian,Management,Hostel,Google Search,We were initially worried about hostel life but the warden system reassured us.,Interest,Higher Studies Masters,181,Regional,Average,Middle,Distant,Digital,Concerned
Dindigul,Male,Government HSS Dindigul,Government,OC,Christian,Management,Day Scholar,School Counselor,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,High Placement,181,Regional,Average,Budget,Distant,Referral,Positive
Coimbatore,Male,Race Course HSS,Private CBSE,MBC,Hindu,Government Counselling,Day Scholar,Social Media Ad,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Higher Studies Masters,182,Local,Average,Mixed,Close,Digital,Positive
Chennai,Male,Lady Andal School,Private CBSE,SC,Hindu,Management,Hostel,TV Advertisement,The hostel facilities looked good during our campus visit and safety seemed adequate.,Interest,High Placement,186,Metro,Average,Premium,Distant,Traditional,Positive
Erode,Male,Gandhi HSS Erode,Private Matriculation,MBC,Hindu,Government Counselling,Hostel,School Counselor,Alumni working in good companies gave positive feedback about the college.,Counselling,Higher Studies Masters,187,Local,Average,Middle,Very Close,Referral,Positive
Erode,Female,Little Angels School,Private CBSE,BC,Christian,Management,Day Scholar,School Counselor,We heard about BIT through school counselor and the reviews were positive.,Interest,Government Job,194,Local,High Performer,Premium,Very Close,Referral,Neutral
Namakkal,Male,Government HSS Namakkal,Government,BC,Hindu,Government Counselling,Day Scholar,School Counselor,The convenience of staying at home while getting quality education is ideal.,Counselling,Government Job,200,Regional,High Performer,Budget,Distant,Referral,Neutral
Erode,Male,GHI International School Erode,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,College Website,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,Higher Studies Masters,184,Local,Average,Mixed,Very Close,Digital,Neutral
Coimbatore,Female,Sri Ramakrishna Mission School,Private Matriculation,SC,Hindu,Government Counselling,Hostel,Campus Visit,Good value for money considering the quality of engineering programs offered.,Counselling,High Placement,190,Local,Average,Middle,Close,Other,Positive
Coimbatore,Male,Sri Krishna HSS,Private CBSE,BCM,Muslim,Management,Hostel,TV Advertisement,We decided to invest in management quota considering the ROI through placements.,Interest,Become an Entrepreneur,182,Local,Average,Premium,Close,Traditional,Neutral
Namakkal,Male,DEF HSS Namakkal,Private Matriculation,BC,Hindu,Government Counselling,Hostel,TV Advertisement,Strong industry connections and practical learning approach attracted us to BIT.,Interest,High Placement,198,Regional,High Performer,Middle,Distant,Traditional,Neutral
Erode,Male,GHI International School Erode,Private CBSE,BC,Hindu,Government Counselling,Hostel,Google Search,Alumni working in good companies gave positive feedback about the college.,Counselling,Government Job,191,Local,High Performer,Mixed,Very Close,Digital,Positive
Salem,Female,Mettur HSS,Private Matriculation,BC,Hindu,Management,Day Scholar,Social Media Ad,No hostel expenses and we can monitor the studies closely from home.,Counselling,Higher Studies Masters,189,Local,Average,Middle,Close,Digital,Neutral
Tiruppur,Male,JKL CBSE Tiruppur,Private CBSE,BC,Christian,Government Counselling,Day Scholar,School Counselor,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,Higher Studies Masters,193,Local,High Performer,Mixed,Close,Referral,Neutral
Erode,Female,Kongu Arts HSS,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,Alumni Reference,Erode location provides good balance of facilities without big city distractions.,Counselling,Government Job,191,Local,High Performer,Mixed,Very Close,Other,Positive
Erode,Male,Municipal HSS Erode,Government,BCM,Muslim,Government Counselling,Day Scholar,Social Media Ad,The convenience of staying at home while getting quality education is ideal.,Counselling,Higher Studies Masters,190,Local,Average,Budget,Very Close,Digital,Neutral
Erode,Female,Gandhi HSS Erode,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,Google Search,Erode location provides good balance of facilities without big city distractions.,Counselling,High Placement,194,Local,High Performer,Mixed,Very Close,Digital,Positive
Coimbatore,Female,DAV School Coimbatore,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,School Counselor,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,High Placement,185,Local,Average,Mixed,Close,Referral,Positive
Salem,Female,Yercaud HSS,Private Matriculation,MBC,Christian,Management,Hostel,Google Search,The management fee was a stretch but the placement records justify the investment.,Interest,Higher Studies Masters,189,Local,Average,Middle,Close,Digital,Neutral
Namakkal,Male,Municipal HSS Namakkal,Government,BC,Christian,Management,Day Scholar,Alumni Reference,Erode location provides good balance of facilities without big city distractions.,Interest,Higher Studies Masters,184,Regional,Average,Budget,Distant,Other,Positive
Karur,Female,GHI Matriculation Karur,Private CBSE,BC,Christian,Government Counselling,Hostel,Alumni Reference,Alumni working in good companies gave positive feedback about the college.,Counselling,Become an Entrepreneur,181,Local,Average,Mixed,Distant,Other,Positive
Salem,Male,Sankari HSS,Private Matriculation,SC,Hindu,Government Counselling,Day Scholar,Campus Visit,No hostel expenses and we can monitor the studies closely from home.,Interest,Higher Studies Masters,197,Local,High Performer,Middle,Close,Other,Neutral
Coimbatore,Male,Bharathi Park HSS,Private CBSE,BC,Hindu,Management,Day Scholar,Newspaper Ad,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Become an Entrepreneur,188,Local,Average,Premium,Close,Other,Positive
Erode,Female,DEF CBSE School Erode,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,Alumni Reference,The campus environment seems conducive for focused technical studies.,Interest,Higher Studies Masters,197,Local,High Performer,Mixed,Very Close,Other,Neutral
Namakkal,Female,Rasipuram HSS,Private Matriculation,OC,Christian,Management,Hostel,Alumni Reference,The campus environment seems safe and conducive for focused studies.,Interest,Government Job,194,Regional,High Performer,Middle,Distant,Other,Neutral
Tiruppur,Male,St. Josephs HSS Tiruppur,Private Matriculation,OC,Hindu,Government Counselling,Day Scholar,College Website,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Government Job,198,Local,High Performer,Middle,Close,Digital,Positive
Madurai,Male,Thiagarajar HSS,Private Matriculation,BC,Hindu,Government Counselling,Day Scholar,Google Search,Alumni working in good companies gave positive feedback about the college.,Counselling,Higher Studies Masters,189,Regional,Average,Middle,Distant,Digital,Positive
Dindigul,Female,ABC School Dindigul,Private Matriculation,BC,Hindu,Management,Hostel,Alumni Reference,The fees were high but the infrastructure and faculty quality convinced us.,Interest,High Placement,180,Regional,Below Average,Middle,Distant,Other,Positive
Bangalore,Female,Bangalore Public School,Private CBSE,BC,Hindu,Management,Hostel,Newspaper Ad,Strong industry connections and practical learning approach attracted us to BIT.,Interest,High Placement,194,Metro,High Performer,Premium,Distant,Other,Neutral
Chennai,Female,Lady Andal School,Private CBSE,SC,Hindu,Government Counselling,Hostel,Friend Family Referral,Erode location provides good balance of facilities without big city distractions.,Counselling,Higher Studies Masters,184,Metro,Average,Mixed,Distant,Referral,Positive
Erode,Male,Little Angels School,Private Matriculation,SC,Christian,Management,Hostel,Education Fair,The hostel facilities looked good during our campus visit and safety seemed adequate.,Counselling,Government Job,194,Local,High Performer,Middle,Very Close,Traditional,Positive
